#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
饮	养景郢仰映怏痒应样漾颖恙氧鞅影硬炀	缨佯仰疡洋樱映飏杨羊央秧应萦鹰漾颖恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸氧影阳莹钖罂景郢鸯莺怏徉赢鹦盈英样鞅萤泱殃痒荧瑛嘤璎茔瀛
饬	赐伺次厕刺	辞疵此祠雌茨瓷词慈磁差
冯	频恒痕汾嫔坟颦焚濒桁贫横衡	品棻氛吩分恨很份芬狠粪奋拼姘聘纷忿愤牝亨横粉哼
驭	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
黄	馄珲混浑魂	荤辊混昏浑婚
黍		塑苏肃苏粟诉素蓿俗簌宿缩速酥甦稣嗉溯夙
黑	菲斐翡霏啡匪非妃飞诽扉	费菲痱斐屝肥翡非沸腓妃飞扉诽吠怫废霏啡肺芾匪
乱		暖煖孪挛
佣	云雯翁纹玟筠蚊昀晕氲纭耘嗡文闻匀瘟云温塭芸	员翁玟蓊刎嗡耘文闻孕瘟吻熨陨温愠塭芸云韵雯运纹紊蚊筠甕昀晕酝抆氲蕴汶纭允匀问云稳免
债	在再载	仔栽宰哉灾载
傲	呕噢	瓯偶欧区鸥藕殴耦呕
传	赚钻	纂爨窜钻篡
仅	竟颈靖信彊芯降静磬橡沁巷省奖酱醒饷兴庆响幸竞亲匠幸乡呛讲揿象璟桨顷想抢项径境景罄劲警径繈享绛性井像痉净向寝镜蒋憬杏敬衅阱悻姓飨请将向相强	青靖彊祥馨降静情倾镶浆橡陉兴幸新亲形疆惺乡呛揿氢璟香想硎径清欣江罄腔擎劲蜻擒更鲭繈型绛旌钦僵湘像鲸痉勤向荆蒋憬瓖辛寻阱悻腥请将相强枪邢竟墙颈泾信枪心粳芯精秦羌刑磬噙巷沁厢省琴奖缰酱訢芹茎醒饷庆响竞莘匠幸讲星经象桨顷抢项昕境惊景锌睛详襄锵姜警蔷行翔径禽兢侵享檠晴樯晶京性井净卿寝镜庠菁轻薪杏嵚戕敬衅姜姓飨箱猩向
倾	惊泾粳睛矜精秦筋擒襟更禽筋兢噙侵琴晶旌钦芹京巾茎金鲸勤亲津禁荆菁嵚浸斤经今	竟泾颈靖粳烬精秦筋静缙谨噙沁进琴芹巾茎亲津噤竞尽觐斤经揿璟近锦径境今惊景睛矜劲警襟更擒筋禽径兢侵瑾晶旌钦京井尽金馑晋鲸痉勤紧净禁仅寝荆镜菁嵚浸憬敬阱
催	炊吹	陲垂捶炊槌锤吹箠椎缍锤
伤	桑砷信申莘伸呻娠深身森参绅丧	嗓哂审甚渗沈肾蜃沁婶脤神丧慎沈
傻	洒撒	萨卅撒飒
傯	踵准肿塚准塚撙种	盅仲忠众钟肫衷圳终樽俊忪屯谆湩尊中钟遵重种
僇	氯怒绿滤律虑忸率	努弩铝榈吕缕褛膂女奴旅娄闾驽侣驴屡履
剿	九朽巧雀糙悄酒操筿晓玖纠小愀抽韭鹊赳宿灸久	袖嚣哮惆揪箫鸠囚究逍旧舅撬诮疚硝脩橇畴瞧傚嗅萧漕桥樵憔酵鯈裘操就笑酬霄龟乔求孝咻曹柩丘丑咎稠草酋凑校锹踌筹裯侨休学绣毬绸溴啾跷修消厩邱肖窍羞峭俦秋秀俏球丑销仇宿槽宵蚯枭嘈鞘救纠削效骁愁辏壳泅嘐梂岫啸臼敲糙锈谯臭潇秋鳅翘
剷	惨	残孱餐惭璨灿蚕参
剽		
募		
勦	九朽巧雀糙悄酒操筿晓玖纠小愀抽韭鹊赳宿灸久	袖嚣哮惆揪箫鸠囚究逍旧舅撬诮疚硝脩橇畴瞧傚嗅萧漕桥樵憔酵鯈裘操就笑酬霄龟乔求孝咻曹柩丘丑咎稠草酋凑校锹踌筹裯侨休学绣毬绸溴啾跷修消厩邱肖窍羞峭俦秋秀俏球丑销仇宿槽宵蚯枭嘈鞘救纠削效骁愁辏壳泅嘐梂岫啸臼敲糙锈谯臭潇秋鳅翘
勤	墙倾彊戕檠晴樯擎蔷情强	青靖彊烬降筋静倾缙浆进津亲觐疆斤呛氢璟近锦径清江矜罄腔劲蜻更筋鲭繈绛旌僵尽痉鲸仅荆浸憬蒋阱将请强竟枪泾颈枪粳精羌磬谨缰奖酱巾茎庆噤竞尽匠讲经桨顷抢今境惊景睛姜锵警襟径兢瑾晶京井金馑晋紧净卿禁镜菁轻敬姜
势	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
勣	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖譆谿漆牺慼蟋唏羲嘻悽晞西奚戚蹊七僖	歧琪齐蓆琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄
汇		
嗟	缺薛歇靴蠍切阙些噱	蟹携切斜邪雀懈妾燮窃楔鹊颉绁胁穴雪邂屉洩屑阙恪瘸亵谢阕茄协确惬骇挟削伽谐鞋壳洩血榭解写怯械卸且泻却契偕撷挈榷学锲勰
嗨		
嗓	赏晌哂上审婶沈沈	砷信渗申殇肾呻伸汤身沁伤参绅慎裳甚尚莘觞上娠深蜃森脤商神
嗦	说	数硕勺铄蟀朔烁帅率妁
吗		
嗜	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
啬	麝摄舍赦拾设社射歙涉叶	舌舍奢什甚赊蛇舍
嗑	铬各个箇	郃哥歌咯格戈骼疙个镉蛤搁割胳革隔阁膈合鬲葛鸽
嗣	拭恃式轼适是饰柿奭氏士使视螫弑市示试豉仕噬誓筮室势侍世嗜识逝事释舐	豕尸匙湿狮虱使拾诗硕失十虱嘘始埘石蚀实食施时提史师湿尸矢什屎射驶
嗤	疵雌差	辞赐此疵次祠雌词伺茨厕瓷刺慈磁
嗯	腌肮	盎昂
呜	淤迂瘀纡	瘉滪妤域娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预渔语于与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁腴遇臾谀庾圩聿尉瑜予萸于浴
嗡	鄘拥佣雍慵庸晕氲臃邕瘟温壅塭	员佣涌刎佣耘文甬蛹用愠芸韵永雯纹紊筠昀晕酝纭问俑云稳恿拥踊玟勇孕闻臃吻熨陨咏涌云泳运蚊抆蕴汶允匀壅免
嗅	教救酵窖就效厩笑肖孝柩醮究啸较旧臼舅咎轿疚校叫傚觉	嚣啾皎哮消娇揪箫鸠灸蕉九逍浇饺跤狡筿鲛硝销胶搅韭赳蛟久萧宵教枭姣骄玖纠削侥焦詨霄骁角椒交嘐礁较勦酒郊脚晓缴小铰绞潇矫剿学嚼
呛	江彊烬矜姜降劲筋襟缙筋浆侵沁进绛缰酱钦僵巾尽金晋噤津亲仅禁尽匠觐疆浸斤嵚揿姜将近强今	彊烬降秦筋缙浆谨噙沁进琴缰奖酱芹巾亲噤津尽匠疆觐斤讲揿桨近锦今江矜姜劲襟擒禽筋侵瑾绛僵钦尽馑金晋紧勤禁仅寝嵚浸蒋姜将强
嗥	篌芣猴侯喉	厚吼后堠否鲎逅缶候后
嗉	束数庶树倏术戍恕述墅漱竖疏署曙	叔橾塾菽淑赎黍属书输熟殊数鼠藷枢梳暑孰蜀薯抒疏署蔬舒
园	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩輓晚皖绾豌剜娩婉
圆	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩輓晚皖绾豌剜娩婉
塞	摄麝舍赦筛晒涉叶杀拾设社射歙晒	舌舍奢甚骰筛晒蛇赊杀什晒舍
塑	束数庶树倏术戍恕述墅漱竖疏署曙	叔橾塾菽淑赎黍属书输熟殊数鼠藷枢梳暑孰蜀薯抒疏署蔬舒
塘		党儅当铛挡讜裆当荡荡档
涂	髑渎椟读犊黩牍毒独	杜蠹堵睹笃赌度镀嘟渡肚都督妒
塚	傯准总准撙	肫粽纵圳鬃樽俊棕屯谆踪尊综遵宗从
塔	打	瘩答搭大达鞑褡靼怛跶
填		奠甸店颠点碘典靛玷佃惦滇电钿淀殿垫巅癫
塌	瘩答搭大褡跶	瘩答搭大打达褡鞑靼怛跶
塭	拥鄘佣翁雍慵庸晕氲嗡汪臃邕尢壅	员佣蓊涌佣耘惘甬蛹网用愠芸忘韵望永筠甕昀妄晕酝纭俑枉云恿往拥踊魍勇亡王孕臃熨罔陨咏涌云泳运旺蕴允匀辋壅
块	怪	枴乖拐
坞	裕瘉滪御域吁妪驭喻狱玉欲誉禺熨峪昱燠愈寓愈谕御谷郁预语遇与煜欲芋育聿尉俞堉郁豫浴毓	妤娱瘀宇逾褕竽蝓雨雩渝觎迂渔于语纡与噢龉余余俞欤羽虞盂隅榆敔愚鱼圉禺禹屿舆愉圄淤腴臾谀庾圩瑜予萸于
埘		赐泗肆厮鸶饲巳伺嗣撕似耜丝思死四祀司兕私食寺驷斯俟姒嘶
茔	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
奥	呕噢	瓯偶欧区鸥藕殴耦呕
嫁	恰洽下暇吓夏厦	狎暇侠辖霞斜柙挟峡匣洽卡狭虾黠遐呷瞎瑕
嫉	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
嫌		件剑见缣鞯毽渐囝简笕减肩建硷睑坚饯鉴鉴涧贱捡拣俭煎笺槛健僭兼舰奸歼奸谏艰柬检溅践监箭间闲尖湔荐腱剪键茧菅缄荐
媾	靠诰釦佝告叩扣犒寇铐	缟糕槁皋高考烤杲稿搞搅篙羔睪拷膏口
妈		
媪	偶藕耦呕	瓯欧区鸥殴呕噢
媳	棘戢疾击辑寂集脊及嫉借唧急伋吉圾即楫瘠汲吃亟籍级极岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪蹟基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技勣稽既悸跻系叽济鲫戟骥饥
嫂	叟守首薮擞手少嗾	寿受哨绶嗽飕售搜邵馊绍蒐稍熟狩芍收烧少兽杓韶瘦召授勺捎梢
媲		
嵩	飧荪孙	舜吮损榫笋盾瞬潠顺
嵯		戳啜辍绰龊
幌	混	荤馄辊珲混昏浑魂婚
干	看瞰勘	侃戡坎看槛勘砍刊堪崁
廉	黏年	念辇碾念拈廿撵辗撚捻涊
厦	萨卅驾价架贾假稼飒嫁	嘉钾颊甲家挟迦撒贾荚袈夹佳胛假夏加葭痂浃洒戛茄豭家
弑	赐祀泗肆兕食饲巳伺嗣似耜寺驷姒俟四	撕司厮丝斯鸶私思嘶死
汇		
徬	盆	喷
微		
愚	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂軏污垩
意		
慈	持弛驰池踟匙迟墀栘	赤炽翅褫啻尺耻蚩痴呎侈痴叱敕吃齿斥嗤魑饬笞喫
感	侃坎槛砍崁	戡看瞰勘刊堪
想	觐蒋谨讲馑瑾桨紧锦奖仅尽	信心彊烬芯馨降筋缙浆进缰訢酱巾新津噤莘尽匠觐疆斤近昕今欣江锌矜姜劲襟筋绛僵尽金晋仅禁浸薪辛寻衅姜将强
爱		
惹		
愁	潮嘈巢朝槽嘲漕曹晁	草凑辏勦钞剿糙吵炒操超抄
愈	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
慎	胜上乘賸尚圣盛丧剩	桑赏渑僧殇胜升汤省伤笙甥丧升嗓晌生裳昇觞上绳牲森商声
慌	荤昏婚	馄辊珲混浑魂
栗	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
愠	望紊旺甕妄抆佣汶文闻王问用免忘	拥往踊佣雍翁魍玟蓊涌勇刎嗡文亡惘闻蛹甬王臃瘟网吻罔温咏涌尢塭鄘泳雯永慵纹蚊庸汪邕俑枉辋稳壅恿
忾	盖丐溉钙概	垓改赅该
怆	寸吋	淳忖鹑醇皴蠢纯唇脣村春存
愧	桂鳜跪柜贵	鲑皈规傀鬼闺龟圭癸珪轨诡瑰晷归
愍		瞑名螟酩明命茗冥鸣铭暝
愆	笺监间尖肩缣湔兼奸坚鞯渐菅歼奸缄艰溅煎	件槛剑健僭见舰毽渐谏囝检柬简溅减笕践监箭间闲荐腱键剪建硷睑茧饯鉴鉴涧贱捡拣俭荐
恺	改	垓盖赅该丐溉钙概
戡	干竿疳坩甘柑尴杆干肝	橄淦干赣敢榦感稈杆赶
戢	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
搓	戳	啜辍绰龊
搾		扎杂咱偺砸匝
搞	狗枸拷考烤苟口	购构雊够媾扣搆寇铐枸钩沟靠勾佝垢釦遘叩诟犒句
搪		党儅当铛挡讜裆当荡荡档
搭	他牠她它塌	遝塔漯榻蹋踏獭遢塌跶挞
搽	喳叉插差	察诧岔查擦茶刹差
搬		
搏		
搜	艘骚收缫捎烧搔稍梢	熟守狩寿芍受绶哨少手兽杓瘦韶召授售勺首邵绍扫嫂
搔	搜馊蒐收捎烧稍飕梢	叟守寿受哨绶嗽嗾售邵绍熟狩芍手少杓兽韶瘦召授首勺薮擞
损	吮悚怂盾耸爽塽	嵩宋松讼孀送松霜崧忪双舜诵颂淞瞬顺
抢	江矜姜筋襟忖筋谨浆侵瑾奖缰钦僵巾馑金紧津亲禁仅尽寝觐疆蒋浸斤嵚讲姜蠢桨将锦今	彊烬降秦春筋缙浆谨噙沁进琴缰奖酱芹巾亲噤津尽匠疆觐斤讲醇皴揿纯桨脣近锦今江矜姜劲襟擒禽筋侵瑾绛存僵钦鹑尽吋馑金晋紧勤村禁仅寝淳嵚浸蒋寸姜唇将强
摇	铀游邮犹猷疣游尤油鱿由	幼幽黝攸鼬诱悠宥右柚牖祐有侑莠友又酉囿佑优忧釉
捣	陡讨枓斗蚪抖	涛萄焘韬桃豆偷头梼淘窦都洮滔透读斗脰痘逃兜啕絛陶套掏饕投逗
搆	靠诰釦佝告叩扣犒寇铐	缟糕槁皋高考烤杲稿搞搅篙羔睪拷膏口
敬	信烬芯罄劲缙磬沁进性兴尽庆幸晋噤亲仅禁尽觐幸浸杏衅悻揿姓近	青邢心馨芯秦情筋刑倾谨噙省陉琴訢巾芹醒兴新亲津尽莘形觐惺斤星氢顷锦硎昕今清欣锌矜擎蜻襟擒行筋禽鲭侵瑾檠型晴钦馑金勤紧卿仅禁寝轻薪嵚浸辛寻腥请猩
斟	睁脏征獐铮正筝狰缯峥赃怔憎漳曾挣增癥蟑争樟璋臧蒸征臜丁彰章诤张	拯長証正幛怎脏赠藏障郑涨帧政胀挣证仗帐葬杖整丈账掌症奘瘴
新	泾粳馨精筋浆镶厢缰巾茎兴津惺乡疆斤星经香今惊江睛矜襄姜更襟筋兢晶旌僵京金湘鲸禁荆菁浸瓖姜腥猩将箱相	邢竟颈靖彊祥烬降静刑缙谨橡巷省陉进奖酱醒饷兴响幸竞噤尽形匠觐幸乡讲象璟桨锦近想项硎径境景详劲警行翔径瑾享型绛性尽井馑晋像痉紧净向仅禁镜庠蒋憬浸杏敬阱悻姓飨将相向强
暗		
晖		
暇	架假颊稼挟浃价驾贾荚戛夹嫁	嘉架钾颊甲家挟迦价贾荚袈夹嫁佳胛假夏加葭稼痂驾浃戛茄豭家
晕	拥佣雍翁佣嗡文闻王臃瘟用温尢塭忘望鄘慵紊旺甕妄庸抆汶汪问邕壅免	佣雍蓊涌刎佣嗡文惘甬蛹瘟网用温忘鄘望永雯慵纹紊甕妄邕问俑枉稳恿往拥踊翁玟魍勇亡王闻臃吻罔咏涌尢塭泳蚊旺庸抆汶汪辋壅免
暖	卵	峦乱滦銮鸾孪挛
暄	圈身捐鹃涓镌娟	倦隽绢圈卷捲狷眷
旸	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
暍		
会	怪	枴乖拐
榔	囊	嫩曩
业		
楚		粗镞趋错促卒槭蹴蹙簇醋趣
楷	改	垓盖赅该丐溉钙概
楠	斓蓝阑栏褴篮拦籣澜岚兰婪	揽榄烂懒滥览缆
楔	戒芥疥界借诫解借介届	捷阶拮皆桔街截诘节杰桀揭孑颉接碣姊劫栉解嗟羯讦竭睫偕撷结洁姐杰
极	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
椰		
概	咳愒忾慨	恺开剀楷揩凯慨岂
杨	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
桢	睁脏征獐铮正筝狰缯峥赃怔憎漳曾挣增癥蟑争樟璋臧蒸征臜丁彰章诤张	拯長証正幛怎脏赠藏障郑涨帧政胀挣证仗帐葬杖整丈账掌症奘瘴
楫	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
愣	嫩能泞	嫩能泞
枫	棻氛吩纷分芬亨哼	恒痕分汾恨很份狠坟粪焚奋桁忿愤衡横粉
楹	垠夤吟银鄞龈淫檐寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓
榆	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂軏污垩
楝	念念廿	辇碾黏拈撵年辗撚捻涊
楣		
楛	凸富馥覆鹄附复罟鼓贾谷阜毂股腹谷赙滑副复傅牯蛊付瞽妇赴咐父古赋钴诂负驸骨讣	氟缚匐肤鈇俯夫雇頫蝠绋扶甫幅芾呱绂袱告沽蛄拂涪抚斧莆锢彿服脯钴固芙骨俘家菰鸪府腑腐顾估雇孚弗故辐孤福浮伏符菔釜敷怫咕孵辜趺辅父麸姑伕
歇	阶揭皆偕结街嗟接	捷芥拮桔截诘节杰桀疥借诫孑颉碣姊劫栉解羯讦竭戒睫界撷结洁借姐杰介届
岁	蜕税说睡	谁水
毁		
殿		甜畋腼填腆舔添忝恬天田阗
毓	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
毽	现欠僩霰岘腺馅羡堑縴宪献歉倩限蚬苋陷县线	干签纤涎黔铣舷衔暹啣千钤秈嵌祆鲜仟咸縴仙骞虔谦牵搴贤钱前遣显嫌愆铅千箝迁签谴咸钳癣娴险阡姗闲闲絃弦蚬潜浅掀先藓
溢		
溯	束数庶树倏术戍恕述墅漱竖疏署曙	叔橾塾菽淑赎黍属书输熟殊数鼠藷枢梳暑孰蜀薯抒疏署蔬舒
滓	芷征止纸趾祇只指祉旨咫址	雉秩帜蛭志氏脂值肢执祇峙枝治支制质祗之芝志姪稚窒植织梔泜痣智致胝滞汁吱致置痔摭至挚制轾踯踬蜘直掷识知只炙只职卮殖
溶		闰润
滂	喷	盆
源	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩輓晚皖绾豌剜娩婉
沟	篙睪羔糕高皋膏	告缟扣槁寇铐考烤杲稿靠搞诰佝釦搅叩犒拷口
滇	添天	甜畋腼填腆舔忝恬田阗
灭		
溥		
溘	铬各个箇	郃哥歌咯格戈骼疙个镉蛤搁割胳革隔阁膈合鬲葛鸽
湿	撕司厮丝斯鸶私思嘶	赐祀泗肆兕食饲巳嗣伺耜似寺驷姒俟思死四
溺	栗俪丽砾砺唳痢历雳力栗立疠溧莅坜戾历琍吏笠粒例利厉钋荔欐俐郦隶蛎励沥鬲莉	礼喱澧醴丽犁哩鲤犛狸篱黎娌璃浬厘离理骊逦李锂梨狸里罹里漓蠡蜊俚
温	拥鄘佣翁雍慵庸晕氲嗡汪臃邕尢壅	员佣蓊涌佣耘惘甬蛹网用愠芸忘韵望永筠甕昀妄晕酝纭俑枉云恿往拥踊魍勇亡王孕臃熨罔陨咏涌云泳运旺蕴允匀辋壅
滑	苦楛	骷窟库裤酷枯哭
准	傯踵总肿塚奘塚撙种	盅仲粽装鬃樽状棕壮湩踪中撞遵宗从忠众钟衷纵圳终俊忪妆桩尊钟综重庄种
溜	尿妞廖燎拗撩料了	尿廖缭聊潦扭料疗辽暸钮鸟牛袅嬝寮寥撩妞僚嘹燎了拗纽忸了
沧	琛伥猖倡昌鲳瞋参娼	场畅長谌晨倡敞苌尘趁唱涔榇尝疢氅辰沉沈徜尝称常衬岑裳肠偿谶宸陈娠忱厂臣嫦怅
滔	刀叨偷都兜	斗蚪岛豆头捣窦盗祷陡枓透读斗脰痘稻悼到导倒蹈抖投逗道
溪	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹勣稽蹟基跻叽居饥	洎棘疾暨忌祭集脊己骑借芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥
溧	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
溴	教救酵窖操就效厩笑辏肖孝柩醮究啸较旧臼舅糙咎轿疚凑校叫傚觉	巢嚣啾皎哮消娇揪箫鸠钞灸蕉九朝逍浇饺跤狡筿鲛硝销胶搅韭赳槽蛟久萧漕宵潮教嘈枭姣骄操超玖纠削侥焦詨霄骁角椒交嘐吵曹礁较勦糙酒郊脚晓晁抄缴小铰草绞嘲潇矫剿学炒嚼
煎	秈签纤阡姗祆嵌鲜仟縴仙愆铅骞千谦暹迁搴掀牵先千签	干岘馅涎黔倩限苋铣舷衔啣钤现羡鲜咸縴歉献陷虔县贤钱欠僩前堑遣显嫌箝谴钳咸癣娴险霰腺闲闲絃宪弦蚬潜浅线藓
烟		
烦	涵函含韩榦汗寒	憾悍旱颌和汉汗颔銲翰撼蚶罕捍鼾瀚喊酣焊
煤		
炼	念念廿	辇碾黏拈撵年辗撚捻涊
照	皂胄噪骤绉造奏冑纣揍宙昼譟灶咒籀皱躁燥	鄹澡遭轴帚周妯藻邹蚤糟枣陬粥舟走肘凿早啁周州洲
煜	戊晤恶寤骛物勿悟坞雾兀误务钨軏垩	武污鹉巫侮吾亡诬无吴午五乌毋伍恶呜鼯妩于唔怃屋舞圬钨捂污梧芜蜈
炀	夤胤鄞银印饮龈淫檐寅垠吟荫隐霪	夤听银饮尹茵寅姻湮慇殷引胤瘾鄞印因龈淫檐音垠阴吟縯氤荫隐霪蚓
煦	莒咀举沮龃矩	炬苣飓具桔巨疽钜剧倨遽屦距俱狙侷掬聚据惧踞瞿橘蛆跼车驹拘局句菊锯沮足鞠拒居
煌	馄珲混浑魂	荤辊混昏浑婚
焕		
煞	萨卅撒飒	萨卅洒撒飒
煆		
煨		
煖	卵圈身捐鹃涓镌娟	倦隽卷滦捲鸾眷峦绢乱圈銮狷孪挛
爷		
牒		贴铁餮帖
猷	洮淆崤谣榣瑶侥肴姚遥肴窑尧摇爻	邀要哟耀夭咬吆鹞杳舀腰乐窈幺钥药妖拗曜
狮	撕司厮丝斯鸶私思嘶	赐祀泗肆兕食饲巳嗣伺耜似寺驷姒俟思死四
猿	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩輓晚皖绾豌剜娩婉
猾		
琅	囊	嫩曩
瑚	氟缚匐夫蝠绋扶芾幅孚弗辐绂袱福浮伏符菔拂涪怫彿服芙俘	富馥覆附肤俯鈇复府夫腑腐頫甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣
瑕	浃荚戛颊夹挟	嘉架假夏钾加葭稼家甲迦驾价痂贾袈夹茄豭嫁佳胛家
瑟	麝摄舍赦拾设社射歙涉叶	舌舍奢什甚赊蛇舍
瑞		
瑁		眸某缪牟谋
珲	泓隍磺皇宏凰篁弘黉虹簧黄鸿湟韹洪蝗徨红讧闳璜煌遑惶	哄谎汞哄荒晃恍幌薨肓烘洸轰慌
瑙	佬篓搂老姥	楼耨喽唠露蝼牢漏痨陋络捞瘺烙劳镂娄搂酪髅
瑛	湮阴姻因慇茵氤音殷	夤瘾听胤银印鄞饮龈尹淫檐寅垠吟縯荫隐霪引蚓
瑜	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂軏污垩
当	烫汤趟镗	烫瑭躺糖搪塘帑膛淌唐傥镗螳汤醣趟堂棠倘
畸	携曦淅熹悉烯禧嬉犀萋膝行蜥凄稀希妻吸欺溪畦晰兮析熙柒厘栖譆谿漆牺慼蟋唏羲嘻悽晞西奚戚蹊七僖	歧琪齐蓆琦耆棋骑妻惜玺祺洗岂绮细碛弃祁乞系启祇期器媳祈讫枝迄息起夕锡锜歙褶昔气其淇旗愒系汐麒翕戏隙习脐徙畦鳍崎鳃圻杞汽奇岐衹矽企喜稽亟潟泣契系憩席熄砌缉袭檄
瘀	屋污诬乌圬钨恶呜污于巫	武鹉晤骛巫侮吾悟坞亡误诬务无吴午五毋伍寤戊恶鼯妩唔物勿怃雾舞兀钨捂軏梧芜蜈垩
痰		箪诞丹淡蛋石惮撢弹但啖胆啗疸氮旦担耽单澹
瘁	炊吹	陲垂捶炊槌锤吹箠椎缍锤
麻		
痱		嘿黑
痺		
痿		
痴	疵雌差	辞赐此疵次祠雌词伺茨厕瓷刺慈磁
